# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: D:\trigger\DE0_CV_Default.csv
# Generated on: Sat Jun 03 12:08:27 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
DRAM_ADDR[6],Output,PIN_P12,3B,B3B_N0,PIN_P12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AB10,3B,B3B_N0,PIN_AB10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_N6,3A,B3A_N0,PIN_N6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_Y10,3B,B3B_N0,PIN_Y10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_U11,3B,B3B_N0,PIN_U11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_T8,3A,B3A_N0,PIN_T8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_W8,3A,B3A_N0,PIN_W8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AB7,3B,B3B_N0,PIN_AB7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_T7,3A,B3A_N0,PIN_T7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_V6,3A,B3A_N0,PIN_V6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Output,PIN_R6,3A,B3A_N0,PIN_R6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AB11,3B,B3B_N0,PIN_AB11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Output,PIN_U6,3A,B3A_N0,PIN_U6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_T9,3B,B3B_N0,PIN_T9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_U10,3B,B3B_N0,PIN_U10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_V9,3B,B3B_N0,PIN_V9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_V10,3B,B3B_N0,PIN_V10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AA7,3B,B3B_N0,PIN_AA7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AA8,3B,B3B_N0,PIN_AA8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AB8,3B,B3B_N0,PIN_AB8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AA9,3B,B3B_N0,PIN_AA9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AA12,3B,B3B_N0,PIN_AA12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_R12,3B,B3B_N0,PIN_R12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_R11,3B,B3B_N0,PIN_R11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_R10,3B,B3B_N0,PIN_R10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_Y11,3B,B3B_N0,PIN_Y11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_R9,3B,B3B_N0,PIN_R9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_T10,3B,B3B_N0,PIN_T10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_Y9,3B,B3B_N0,PIN_Y9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_LDQM,Output,PIN_U12,3B,B3B_N0,PIN_U12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AB6,3B,B3B_N0,PIN_AB6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_N8,3B,B3B_N0,PIN_N8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AB5,3B,B3B_N0,PIN_AB5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Bidir,PIN_T15,5A,B5A_N0,PIN_T15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Bidir,PIN_T17,5A,B5A_N0,PIN_T17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Bidir,PIN_T18,5A,B5A_N0,PIN_T18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Bidir,PIN_T19,5A,B5A_N0,PIN_T19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Bidir,PIN_T20,5A,B5A_N0,PIN_T20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Bidir,PIN_R16,5A,B5A_N0,PIN_R16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Bidir,PIN_R17,5A,B5A_N0,PIN_R17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Bidir,PIN_R15,5A,B5A_N0,PIN_R15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Bidir,PIN_P18,5A,B5A_N0,PIN_P18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Bidir,PIN_K19,7A,B7A_N0,PIN_K19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Bidir,PIN_K17,5B,B5B_N0,PIN_K17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Bidir,PIN_L19,5B,B5B_N0,PIN_L19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Bidir,PIN_L17,5B,B5B_N0,PIN_L17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Bidir,PIN_L18,5B,B5B_N0,PIN_L18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Bidir,PIN_M18,5B,B5B_N0,PIN_M18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Bidir,PIN_P16,5A,B5A_N0,PIN_P16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Bidir,PIN_P17,5A,B5A_N0,PIN_P17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Bidir,PIN_L22,5B,B5B_N0,PIN_L22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Bidir,PIN_P19,5A,B5A_N0,PIN_P19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Bidir,PIN_M22,5B,B5B_N0,PIN_M22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Bidir,PIN_N19,5B,B5B_N0,PIN_N19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Bidir,PIN_N20,5B,B5B_N0,PIN_N20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Bidir,PIN_T22,5A,B5A_N0,PIN_T22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Bidir,PIN_R21,5A,B5A_N0,PIN_R21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Bidir,PIN_R22,5A,B5A_N0,PIN_R22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Bidir,PIN_N21,5B,B5B_N0,PIN_N21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Bidir,PIN_M21,5B,B5B_N0,PIN_M21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Bidir,PIN_M20,5B,B5B_N0,PIN_M20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Bidir,PIN_K22,5B,B5B_N0,PIN_K22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Bidir,PIN_K21,5B,B5B_N0,PIN_K21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Bidir,PIN_K20,7A,B7A_N0,PIN_K20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Bidir,PIN_D17,7A,B7A_N0,PIN_D17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Bidir,PIN_C16,7A,B7A_N0,PIN_C16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Bidir,PIN_M16,5B,B5B_N0,PIN_M16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Bidir,PIN_B16,7A,B7A_N0,PIN_B16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Bidir,PIN_N16,5B,B5B_N0,PIN_N16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Bidir,PIN_K16,7A,B7A_N0,PIN_K16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Bidir,PIN_J17,7A,B7A_N0,PIN_J17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Bidir,PIN_G12,7A,B7A_N0,PIN_G12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Bidir,PIN_G13,7A,B7A_N0,PIN_G13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Bidir,PIN_G15,7A,B7A_N0,PIN_G15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Bidir,PIN_G16,7A,B7A_N0,PIN_G16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Bidir,PIN_F12,7A,B7A_N0,PIN_F12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Bidir,PIN_F13,7A,B7A_N0,PIN_F13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Bidir,PIN_F15,7A,B7A_N0,PIN_F15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Bidir,PIN_F14,7A,B7A_N0,PIN_F14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Bidir,PIN_E16,7A,B7A_N0,PIN_E16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Bidir,PIN_E15,7A,B7A_N0,PIN_E15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Bidir,PIN_E14,7A,B7A_N0,PIN_E14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Bidir,PIN_C15,7A,B7A_N0,PIN_C15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Bidir,PIN_B15,7A,B7A_N0,PIN_B15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Bidir,PIN_A14,7A,B7A_N0,PIN_A14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Bidir,PIN_L8,7A,B7A_N0,PIN_L8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Bidir,PIN_J13,7A,B7A_N0,PIN_J13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Bidir,PIN_A15,7A,B7A_N0,PIN_A15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Bidir,PIN_H14,7A,B7A_N0,PIN_H14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Bidir,PIN_J11,7A,B7A_N0,PIN_J11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Bidir,PIN_H10,7A,B7A_N0,PIN_H10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Bidir,PIN_G11,7A,B7A_N0,PIN_G11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Bidir,PIN_J19,7A,B7A_N0,PIN_J19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Bidir,PIN_J18,7A,B7A_N0,PIN_J18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Bidir,PIN_H18,7A,B7A_N0,PIN_H18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Bidir,PIN_G17,7A,B7A_N0,PIN_G17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Bidir,PIN_G18,7A,B7A_N0,PIN_G18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Bidir,PIN_D13,7A,B7A_N0,PIN_D13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Bidir,PIN_C13,7A,B7A_N0,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Bidir,PIN_B13,7A,B7A_N0,PIN_B13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Bidir,PIN_A13,7A,B7A_N0,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Bidir,PIN_B12,7A,B7A_N0,PIN_B12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Bidir,PIN_H15,7A,B7A_N0,PIN_H15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Bidir,PIN_A12,7A,B7A_N0,PIN_A12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Bidir,PIN_H16,7A,B7A_N0,PIN_H16,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Output,PIN_V14,4A,B4A_N0,PIN_V14,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA10,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Output,PIN_V19,4A,B4A_N0,PIN_V19,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Output,PIN_V18,4A,B4A_N0,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Output,PIN_U17,4A,B4A_N0,PIN_U17,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Output,PIN_V16,4A,B4A_N0,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Output,PIN_Y17,4A,B4A_N0,PIN_Y17,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Output,PIN_Y16,4A,B4A_N0,PIN_Y16,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Output,PIN_P9,3B,B3B_N0,PIN_P9,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Output,PIN_Y15,4A,B4A_N0,PIN_Y15,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Output,PIN_U15,4A,B4A_N0,PIN_U15,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Output,PIN_U16,4A,B4A_N0,PIN_U16,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Output,PIN_V20,4A,B4A_N0,PIN_V20,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Output,PIN_Y20,4A,B4A_N0,PIN_Y20,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Output,PIN_U20,4A,B4A_N0,PIN_U20,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Output,PIN_W19,4A,B4A_N0,PIN_W19,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Output,PIN_C2,2A,B2A_N0,PIN_C2,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Output,PIN_C1,2A,B2A_N0,PIN_C1,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Output,PIN_P14,4A,B4A_N0,PIN_P14,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Output,PIN_T14,4A,B4A_N0,PIN_T14,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Output,PIN_M8,3B,B3B_N0,PIN_M8,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Output,PIN_N9,3B,B3B_N0,PIN_N9,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Input,PIN_M6,3A,B3A_N0,PIN_M6,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Input,PIN_M7,3A,B3A_N0,PIN_M7,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Input,PIN_W9,3A,B3A_N0,PIN_W9,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Input,PIN_U7,3A,B3A_N0,PIN_U7,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Output,PIN_L1,2A,B2A_N0,PIN_L1,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Output,PIN_L2,2A,B2A_N0,PIN_L2,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Output,PIN_U1,2A,B2A_N0,PIN_U1,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Output,PIN_U2,2A,B2A_N0,PIN_U2,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Output,PIN_N1,2A,B2A_N0,PIN_N1,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Output,PIN_N2,2A,B2A_N0,PIN_N2,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Output,PIN_Y3,2A,B2A_N0,PIN_Y3,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Output,PIN_W2,2A,B2A_N0,PIN_W2,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Output,PIN_AA1,2A,B2A_N0,PIN_AA1,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Output,PIN_AA2,2A,B2A_N0,PIN_AA2,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Bidir,PIN_D3,2A,B2A_N0,PIN_D3,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Bidir,PIN_E2,2A,B2A_N0,PIN_E2,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Bidir,PIN_G2,2A,B2A_N0,PIN_G2,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Bidir,PIN_G1,2A,B2A_N0,PIN_G1,3.3-V LVTTL,,,,,,,,,,,,,
RESET_N,Input,PIN_P22,5A,B5A_N0,PIN_P22,3.3-V LVTTL,,,,,,,,,,,,,
SD_CLK,Output,PIN_H11,7A,B7A_N0,PIN_H11,3.3-V LVTTL,,,,,,,,,,,,,
SD_CMD,Bidir,PIN_B11,7A,B7A_N0,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[3],Bidir,PIN_C11,7A,B7A_N0,PIN_C11,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[2],Bidir,PIN_E12,7A,B7A_N0,PIN_E12,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[1],Bidir,PIN_D12,7A,B7A_N0,PIN_D12,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[0],Bidir,PIN_K9,7A,B7A_N0,PIN_K9,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Input,PIN_AB12,4A,B4A_N0,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Input,PIN_AB13,4A,B4A_N0,PIN_AB13,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Input,PIN_AA13,4A,B4A_N0,PIN_AA13,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Input,PIN_AA14,4A,B4A_N0,PIN_AA14,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Input,PIN_AB15,4A,B4A_N0,PIN_AB15,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Input,PIN_AA15,4A,B4A_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Input,PIN_T12,4A,B4A_N0,PIN_T12,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Input,PIN_T13,4A,B4A_N0,PIN_T13,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Input,PIN_V13,4A,B4A_N0,PIN_V13,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Input,PIN_U13,4A,B4A_N0,PIN_U13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[3],Output,PIN_A7,8A,B8A_N0,PIN_A7,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[2],Output,PIN_A8,8A,B8A_N0,PIN_A8,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[1],Output,PIN_B7,8A,B8A_N0,PIN_B7,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[0],Output,PIN_B6,8A,B8A_N0,PIN_B6,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[3],Output,PIN_J8,8A,B8A_N0,PIN_J8,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[2],Output,PIN_J7,8A,B8A_N0,PIN_J7,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[1],Output,PIN_K7,8A,B8A_N0,PIN_K7,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[0],Output,PIN_L7,8A,B8A_N0,PIN_L7,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Output,PIN_H8,8A,B8A_N0,PIN_H8,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Output,PIN_A5,8A,B8A_N0,PIN_A5,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Output,PIN_C9,8A,B8A_N0,PIN_C9,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Output,PIN_B10,8A,B8A_N0,PIN_B10,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Output,PIN_A9,8A,B8A_N0,PIN_A9,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Output,PIN_G8,8A,B8A_N0,PIN_G8,3.3-V LVTTL,,,,,,,,,,,,,
